,Unnamed: 0,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude,facades_number
0,2,6,4020,True,APARTMENT_BLOCK,250000.0,5.0,303.0,True,False,False,False,0.0,False,0.0,760.0,False,W,to_renovate,120694.32,50.65,5.57,0.0
1,7,6,1150,True,APARTMENT_BLOCK,650000.0,4.0,200.0,True,False,False,True,4.0,True,150.0,301.0,False,B,good,275544.13,50.83,4.44,0.0
2,10,6,9600,True,APARTMENT_BLOCK,389000.0,6.0,255.0,True,False,False,True,22.0,False,0.0,205.0,False,F,good,136832.46,50.75,3.6,0.0
3,11,6,1030,True,APARTMENT_BLOCK,399000.0,3.0,137.0,True,False,False,True,10.0,False,0.0,195.0,False,B,to_renovate,175825.22,50.87,4.37,0.0
4,12,6,4500,True,APARTMENT_BLOCK,425000.0,5.0,400.0,True,False,False,True,0.0,True,366.0,603.0,False,W,good,131629.41,50.52,5.24,0.0
5,13,6,1200,True,APARTMENT_BLOCK,1750000.0,7.0,550.0,True,False,False,True,20.0,True,60.0,270.0,False,B,good,242944.1,50.85,4.43,0.0
6,18,6,1140,True,APARTMENT_BLOCK,695000.0,7.0,257.0,False,False,False,False,0.0,False,0.0,350.0,False,B,to_renovate,167132.84,50.87,4.4,0.0
7,22,6,4020,True,APARTMENT_BLOCK,280000.0,8.0,180.0,True,False,False,False,0.0,True,55.0,120.0,False,W,to_renovate,120694.32,50.65,5.57,0.0
8,28,6,1030,True,APARTMENT_BLOCK,520000.0,8.0,360.0,True,False,False,True,15.0,True,65.0,147.0,False,B,to_renovate,175825.22,50.87,4.37,0.0
9,29,6,1090,True,APARTMENT_BLOCK,749000.0,8.0,350.0,True,False,False,True,37.0,True,138.0,235.0,False,B,good,151906.67,50.88,4.33,0.0
10,30,6,1050,True,APARTMENT_BLOCK,2300000.0,5.0,500.0,True,False,False,True,8.0,True,130.0,258.0,False,B,to_renovate,245049.04,50.82,4.38,0.0
11,34,6,1150,True,APARTMENT_BLOCK,925000.0,3.0,220.0,True,False,False,True,22.0,True,113.0,240.0,False,B,good,275544.13,50.83,4.44,0.0
12,38,6,9170,True,APARTMENT_BLOCK,399000.0,4.0,315.0,True,False,False,False,0.0,False,0.0,145.0,False,F,good,115729.1,51.22,4.12,0.0
13,41,6,4300,True,APARTMENT_BLOCK,375000.0,4.0,200.0,True,False,False,False,0.0,True,200.0,345.0,False,W,good,147912.36,50.7,5.25,0.0
14,42,6,8370,True,APARTMENT_BLOCK,250000.0,4.0,226.0,True,False,False,True,8.0,False,0.0,97.0,False,F,renovated,160565.23,51.32,3.13,0.0
15,49,6,4500,True,APARTMENT_BLOCK,225000.0,6.0,380.0,True,False,False,True,105.0,True,2500.0,2897.0,False,W,to_renovate,131629.41,50.52,5.24,0.0
16,59,6,1300,True,APARTMENT_BLOCK,1250000.0,11.0,520.0,True,True,False,True,0.0,True,5500.0,5500.0,True,W,renovated,185376.33,50.72,4.61,0.0
17,63,6,1030,True,APARTMENT_BLOCK,940000.0,6.0,240.0,True,False,False,False,0.0,False,0.0,335.0,False,B,good,175825.22,50.87,4.37,0.0
18,68,6,1200,True,APARTMENT_BLOCK,550000.0,3.0,160.0,False,False,False,True,4.0,True,44.0,0.0,False,B,good,242944.1,50.85,4.43,0.0
19,70,6,1000,True,APARTMENT_BLOCK,3500000.0,10.0,850.0,True,True,False,False,0.0,False,0.0,230.0,False,B,good,188165.24,50.85,4.35,0.0
20,73,6,8450,True,APARTMENT_BLOCK,399000.0,5.0,237.0,True,False,False,False,0.0,False,0.0,205.0,False,F,good,151250.0,51.24,2.97,0.0
21,76,6,1950,True,APARTMENT_BLOCK,725000.0,7.0,230.0,True,False,False,True,21.0,False,0.0,364.0,False,F,renovated,240401.52,50.86,4.47,0.0
22,87,6,1180,True,APARTMENT_BLOCK,785000.0,5.0,184.0,True,False,False,True,25.0,True,143.0,230.0,False,B,to_renovate,235984.43,50.8,4.34,0.0
23,88,6,3020,True,APARTMENT_BLOCK,1285000.0,10.0,425.0,True,False,False,True,9.0,False,0.0,637.0,False,F,to_renovate,244188.4,50.91,4.67,0.0
24,98,6,1000,True,APARTMENT_BLOCK,1350000.0,7.0,400.0,True,False,False,True,75.0,False,0.0,206.0,False,B,to_renovate,188165.24,50.85,4.35,0.0
25,115,6,1180,True,APARTMENT_BLOCK,495000.0,5.0,166.0,True,False,False,True,80.0,True,100.0,154.0,False,B,good,235984.43,50.8,4.34,0.0
26,118,6,1050,True,APARTMENT_BLOCK,490000.0,4.0,160.0,False,False,False,False,0.0,False,0.0,60.0,False,B,to_renovate,245049.04,50.82,4.38,0.0
27,120,6,1040,True,APARTMENT_BLOCK,785000.0,6.0,233.0,True,False,False,True,7.0,False,0.0,72.0,True,B,to_renovate,209908.71,50.84,4.39,0.0
28,124,6,1435,True,APARTMENT_BLOCK,275000.0,1.0,115.0,True,False,False,True,0.0,False,0.0,153.0,False,W,good,156130.12,50.64,4.61,0.0
