Code postal;Localité;Sous-commune;Commune principale;Province
5670;Mazée;Oui;VIROINVAL;Namur
1860;MEISE;Non;MEISE;Brabant Flamand
9700;Melden;Oui;OUDENAARDE;Flandre-Orientale
1370;Mélin;Oui;JODOIGNE;Brabant Wallon
4520;Moha;Oui;WANZE;Liège
6592;Monceau-Imbrechies;Oui;MOMIGNIES;Hainaut
7542;Mont-Saint-Aubert;Oui;TOURNAI;Hainaut
5190;Mornimont;Oui;JEMEPPE-SUR-SAMBRE;Namur
5300;Namêche;Oui;ANDENNE;Namur
3221;Nieuwrode;Oui;HOLSBEEK;Brabant Flamand
7387;Onnezies;Oui;HONNELLES;Hainaut
1315;Opprebais;Oui;INCOURT;Brabant Wallon
4360;Otrange;Oui;OREYE;Liège
4577;Outrelouxhe;Oui;MODAVE;Liège
5575;Patignies;Oui;GEDINNE;Namur
7760;Popuelles;Oui;CELLES;Hainaut
8972;Proven;Oui;POPERINGE;Flandre-Occidentale
2242;Pulderbos;Oui;ZANDHOVEN;Anvers
1430;REBECQ;Non;REBECQ;Brabant Wallon
5081;Saint-Denis-Bovesse;Oui;LA BRUYÈRE;Namur
5575;Sart-Custinne;Oui;GEDINNE;Namur
2970;SCHILDE;Non;SCHILDE;Anvers
2900;SCHOTEN;Non;SCHOTEN;Anvers
8554;Sint-Denijs;Oui;ZWEVEGEM;Flandre-Occidentale
6920;Sohier;Oui;WELLIN;Luxembourg
3510;Spalbeek;Oui;HASSELT;Limbourg
9140;TEMSE;Non;TEMSE;Flandre-Orientale
3080;TERVUREN;Non;TERVUREN;Brabant Flamand
7350;Thulin;Oui;HENSIES;Hainaut
7971;Thumaide;Oui;BELOEIL;Hainaut
5621;Thy-Le-Baudouin;Oui;FLORENNES;Namur
4420;Tilleur;Oui;SAINT-NICOLAS;Liège
6637;Tintange;Oui;FAUVILLERS;Luxembourg
6941;Tohogne;Oui;DURBUY;Luxembourg
1180;UCCLE;Non;UCCLE;Bruxelles (19 communes)
7812;Villers-Saint-Amand;Oui;ATH;Hainaut
5570;Vonêche;Oui;BEAURAING;Namur
3080;Vossem;Oui;TERVUREN;Brabant Flamand
9185;WACHTEBEKE;Non;WACHTEBEKE;Flandre-Orientale
6920;WELLIN;Non;WELLIN;Luxembourg
7620;Wez-Velvain;Oui;BRUNEHAUT;Hainaut
6666;Wibrin;Oui;HOUFFALIZE;Luxembourg
7608;Wiers;Oui;PÉRUWELZ;Hainaut
1861;Wolvertem;Oui;MEISE;Brabant Flamand
8470;Zevekote;Oui;GISTEL;Flandre-Occidentale
4780;Recht;Oui;SAINT-VITH;Liège
3791;Remersdaal;Oui;FOURONS;Limbourg
2310;RIJKEVORSEL;Non;RIJKEVORSEL;Anvers
3454;Rummen;Oui;GEETBETS;Brabant Flamand
9150;Rupelmonde;Oui;KRUIBEKE;Flandre-Orientale
1703;Schepdaal;Oui;DILBEEK;Brabant Flamand
3270;Scherpenheuvel;Oui;SCHERPENHEUVEL-ZICHEM;Brabant Flamand
6750;Signeulx;Oui;MUSSON;Luxembourg
9620;Sint-Goriks-Oudenhove;Oui;ZOTTEGEM;Flandre-Orientale
5503;Sorinnes;Oui;DINANT;Namur
4801;Stembert;Oui;VERVIERS;Liège
8600;Stuivekenskerke;Oui;DIKSMUIDE;Flandre-Occidentale
1740;TERNAT;Non;TERNAT;Brabant Flamand
4910;THEUX;Non;THEUX;Liège
6230;Thiméon;Oui;PONT-À-CELLES;Hainaut
7904;Tourpes;Oui;LEUZE-EN-HAINAUT;Hainaut
6183;Trazegnies;Oui;COURCELLES;Hainaut
6960;Vaux-Chavanne;Oui;MANHAY;Luxembourg
6823;Villers-Devant-Orval;Oui;FLORENVILLE;Luxembourg
5080;Villers-Lez-Heest;Oui;LA BRUYÈRE;Namur
9921;Vinderhoute;Oui;LIEVEGEM;Flandre-Orientale
2290;VORSELAAR;Non;VORSELAAR;Anvers
3890;Vorsen;Oui;GINGELOM;Limbourg
5377;Waillet;Oui;SOMME-LEUZE;Namur
5570;Wancennes;Oui;BEAURAING;Namur
4280;Wansin;Oui;HANNUT;Liège
7740;Warcoing;Oui;PECQ;Hainaut
8610;Werken;Oui;KORTEMARK;Flandre-Occidentale
8560;WEVELGEM;Non;WEVELGEM;Flandre-Occidentale
