"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",248500,84
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2010","Maisons avec 4 ou plus de façades (type ouvert)",330000,19
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2010","Appartements",160000,42
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",252500,103
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",267500,74
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2011","Maisons avec 4 ou plus de façades (type ouvert)",400500,26
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2011","Appartements",159250,44
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",295000,100
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",262500,77
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2012","Maisons avec 4 ou plus de façades (type ouvert)",418000,23
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2012","Appartements",165000,65
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",270000,100
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",264500,74
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2013","Maisons avec 4 ou plus de façades (type ouvert)",400000,17
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2013","Appartements",175000,47
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",273000,91
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",262500,98
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2014","Maisons avec 4 ou plus de façades (type ouvert)",455000,25
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2014","Appartements",179500,64
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",280000,123
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",272000,79
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2015","Maisons avec 4 ou plus de façades (type ouvert)",400000,25
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2015","Appartements",192250,56
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",280000,104
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",270000,77
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2016","Maisons avec 4 ou plus de façades (type ouvert)",447000,35
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2016","Appartements",176000,61
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",300000,112
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",284500,113
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2017","Maisons avec 4 ou plus de façades (type ouvert)",442500,33
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2017","Appartements",187000,51
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",307250,146
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",295000,117
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2018","Maisons avec 4 ou plus de façades (type ouvert)",448500,42
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2018","Appartements",184000,71
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",312500,159
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",310000,127
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2019","Maisons avec 4 ou plus de façades (type ouvert)",462500,48
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2019","Appartements",185000,86
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",330000,175
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
